,A_NAME,A_RA,A_DEC,A_COUNT_RATE,A_COUNT_RATE_ERROR,A_FLUX,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,B_SIGNIFICANCE,B_B_FLUX_AP,B_B_FLUX_AP_HI,B_B_FLUX_AP_LO,B_M_FLUX_AP,B_M_FLUX_AP_HI,B_M_FLUX_AP_LO,XOFFSET_
71,CXOGLB J002403.1-720447,6.012975,-72.079817,0.000148,2.651e-05,1.417e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.066
72,CXOGLB J002403.1-720447,6.012833,-72.079814,0.0002305,7.532e-05,1.7e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.064
73,XMMSL2 J002402.8-720447,6.011836,-72.079721,1.035,0.3389,3.269e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.048
74,CXOGLB J002401.4-720441,6.006012,-72.078264,0.0002029,3.068e-05,1.24e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.094
75,CXOGLB J002401.4-720441,6.005854,-72.078206,0.0001372,5.88e-05,8.857e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720444 ,6.010455,-72.079034,10.22,2.22e-15,2.42E-15      ,2.01E-15      ,6.48e-16,7.46E-16      ,5.50E-16      ,0.098
76,CXOGLB J002402.5-720511,6.010487,-72.086458,0.0008634,0.000124,5.987e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720511 ,6.010643,-72.086484,22.52,3.39e-15,3.99E-15      ,2.79E-15      ,7.47e-16,9.62E-16      ,5.19E-16      ,0.003
77,CXOGLB J002402.5-720511,6.010542,-72.086458,0.002319,9.446e-05,1.304e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.5-720511 ,6.010643,-72.086484,22.52,3.39e-15,3.99E-15      ,2.79E-15      ,7.47e-16,9.62E-16      ,5.19E-16      ,0.002
78,CXOGLB J002403.1-720447,6.012975,-72.079817,0.000148,2.651e-05,1.417e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,3.641,3.26e-16,4.57E-16      ,1.90E-16      ,0.0,              ,              ,0.104
79,CXOGLB J002403.1-720447,6.012833,-72.079814,0.0002305,7.532e-05,1.7e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,3.641,3.26e-16,4.57E-16      ,1.90E-16      ,0.0,              ,              ,0.103
80,XMMSL2 J002402.8-720447,6.011836,-72.079721,1.035,0.3389,3.269e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.6-720441 ,6.011079,-72.078182,3.641,3.26e-16,4.57E-16      ,1.90E-16      ,0.0,              ,              ,0.093
81,CXOGLB J002401.4-720441,6.006012,-72.078264,0.0002029,3.068e-05,1.24e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,3.641,3.26e-16,4.57E-16      ,1.90E-16      ,0.0,              ,              ,0.094
82,CXOGLB J002401.4-720441,6.005854,-72.078206,0.0001372,5.88e-05,8.857e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720441 ,6.011079,-72.078182,3.641,3.26e-16,4.57E-16      ,1.90E-16      ,0.0,              ,              ,0.096
83,CXOGLB J002402.1-720542,6.008829,-72.095008,0.009216,0.0001846,5.084e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720538 ,6.011109,-72.094063,8.153,1.31e-15,1.47E-15      ,1.14E-15      ,3.77e-16,4.55E-16      ,2.99E-16      ,0.071
84,CXOGLB J002402.1-720542,6.008796,-72.094986,0.01006,0.0003874,6.915e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.6-720538 ,6.011109,-72.094063,8.153,1.31e-15,1.47E-15      ,1.14E-15      ,3.77e-16,4.55E-16      ,2.99E-16      ,0.07
85,XMMSL2 J002402.8-720447,6.013602,-72.080555,1.207,0.4198,3.812e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002402.8-720449 ,6.011798,-72.080332,33.44,7.12e-15,7.78E-15      ,6.40E-15      ,1.49e-15,1.73E-15      ,1.25E-15      ,0.036
86,CXOGLB J002402.1-720450,6.009004,-72.080725,0.000145,2.744e-05,8.502e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,33.44,7.12e-15,7.78E-15      ,6.40E-15      ,1.49e-15,1.73E-15      ,1.25E-15      ,0.057
87,CXOGLB J002402.1-720450,6.00925,-72.080678,0.0001078,5.46e-05,7.794e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,33.44,7.12e-15,7.78E-15      ,6.40E-15      ,1.49e-15,1.73E-15      ,1.25E-15      ,0.051
88,CXOGLB J002402.8-720449,6.011667,-72.080289,0.0006482,0.0001099,5.137e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,33.44,7.12e-15,7.78E-15      ,6.40E-15      ,1.49e-15,1.73E-15      ,1.25E-15      ,0.004
89,CXOGLB J002402.8-720449,6.011767,-72.080281,0.005065,0.000139,2.937e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002402.8-720449 ,6.011798,-72.080332,33.44,7.12e-15,7.78E-15      ,6.40E-15      ,1.49e-15,1.73E-15      ,1.25E-15      ,0.003
