A_NAME,A_RA,A_DEC,A_COUNT_RATE,A_COUNT_RATE_ERROR,A_FLUX,A_DATABASE_TABLE,B_RA,B_DEC,sig,B_DEC,B_SIGNIFICANCE,B_B_FLUX_AP,B_B_FLUX_AP_HI,B_B_FLUX_AP_LO,B_M_FLUX_AP,B_M_FLUX_AP_HI,B_M_FLUX_AP_LO,XOFFSET_
CXOGLB J002403.8-720621,6.016025,-72.106017,4.322E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.8-720621 ,6.016136,-72.106038,15.95,8.99E-15,9.73E-15,8.24E-15,0,              ,              ,0.002,,
CXOGLB J002404.2-720458,6.017675,-72.082772,2.425E-13,GC47TUCCXO      ,CHANDRA      ,2CXO J002403.5-720452 ,6.014684,-72.081116,161.6,4.13E-13,4.17E-13,4.1E-13,1.06E-13,1.08E-13,1.05E-13,0.114,,
CXOGLB J002404.9-720455,6.020575,-72.082044,3.649E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002405.6-720449 ,6.023632,-72.080356,20.78,8.99E-15,9.59E-15,8.4E-15,1.98E-15,2.21E-15,1.74E-15,0.116,,
CXOGLB J002404.9-720506,6.020883,-72.085058,2.338E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002405.0-720506 ,6.021004,-72.085077,4.187,3.25E-15,4.02E-15,2.49E-15,7.96E-16,1.06E-15,5.2E-16,0.002,,
CXOGLB J002405.3-720421,6.02235,-72.072647,2.94E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002405.3-720421 ,6.02249,-72.072679,10.2,5.29E-15,5.78E-15,4.8E-15,6.56E-16,7.6E-16,5.45E-16,0.003,,
CXOGLB J002406.0-720456,6.024962,-72.082272,3.157E-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.0-720456 ,6.025117,-72.082283,25.99,2.68E-14,2.85E-14,2.51E-14,6.18E-15,6.86E-15,5.49E-15,0.003,,
CXOGLB J002406.3-720443,6.026558,-72.078611,9.186E-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720443 ,6.026676,-72.078634,53.28,4.5E-14,4.69E-14,4.32E-14,6.71E-15,7.27E-15,6.1E-15,0.003,,
CXOGLB J002407.1-720545,6.029738,-72.096053,2.012E-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.1-720542 ,6.025797,-72.095261,4.162,6.61E-16,8.52E-16,4.69E-16,0,              ,              ,0.087,,
CXOGLB J002407.7-720527,6.032371,-72.0909,5.031E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002407.7-720527 ,6.032464,-72.090925,8.876,5.27E-15,5.63E-15,4.92E-15,1.27E-15,1.4E-15,1.12E-15,0.002,,
CXOGLB J002407.9-720454,6.032975,-72.081883,5.385E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002408.1-720451 ,6.033777,-72.080884,4,5.77E-16,7.02E-16,4.53E-16,1.52E-16,2.02E-16,9.99E-17,0.062,,
CXOGLB J002408.2-720435,6.034517,-72.076608,4.712E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002408.3-720435 ,6.034675,-72.076618,12.82,7.82E-15,8.57E-15,7.02E-15,0,              ,              ,0.003,,
CXOGLB J002408.4-720500,6.035312,-72.083417,8.68E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002408.4-720500 ,6.035411,-72.083435,18.4,1.91E-14,2.01E-14,1.8E-14,2.22E-15,2.43E-15,2E-15,0.002,,
CXOGLB J002409.2-720543,6.038412,-72.095519,2.728E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002409.2-720543 ,6.038483,-72.095544,6.104,2.56E-15,2.83E-15,2.3E-15,5.1E-16,5.99E-16,4.21E-16,0.002,,
CXOGLB J002410.0-720441,6.041879,-72.078128,1.771E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002410.0-720441 ,6.042059,-72.078131,8.279,1.85E-15,2.06E-15,1.62E-15,2.79E-16,3.51E-16,2.06E-16,0.003,,
CXOGLB J002410.6-720516,6.04435,-72.087906,1.488E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002410.6-720516 ,6.044488,-72.087879,6.975,1.21E-15,1.42E-15,9.86E-16,2.66E-16,3.58E-16,1.75E-16,0.003,,
CXOGLB J002410.7-720425,6.044775,-72.073814,8.467E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002410.7-720425 ,6.044885,-72.073826,23.78,3.54E-14,3.69E-14,3.38E-14,3.09E-15,3.34E-15,2.84E-15,0.002,,
CXOGLB J002411.8-720443,6.0496,-72.078858,1.205E-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002411.9-720443 ,6.049667,-72.078852,5,1.66E-15,2.1E-15,1.22E-15,4.87E-16,6.86E-16,2.89E-16,0.001,,
CXOGLB J002415.8-720436,6.06615,-72.076775,1.902E-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002415.9-720436 ,6.066288,-72.076792,21.99,4.34E-14,4.56E-14,4.1E-14,8.39E-15,9.09E-15,7.65E-15,0.003,,
CXOGLB J002416.9-720427,6.0707,-72.074225,3.447E-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002416.9-720427 ,6.070791,-72.074234,38.28,4.69E-14,4.82E-14,4.57E-14,9.49E-15,9.92E-15,9.07E-15,0.002,,
CXOU J192035.7+374452  ,290.148996,37.747852,2.601E-14,NGC6791CXO      ,CHANDRA      ,2CXO J192035.7+374452 ,290.148921,37.747795,10.9,3.31E-14,3.61E-14,2.99E-14,5.38E-15,6.19E-15,4.52E-15,0.005,,
CXOU J192056.3+374613  ,290.234628,37.770331,1.707E-14,NGC6791CXO      ,CHANDRA      ,2CXO J192056.2+374613 ,290.234581,37.770285,10.63,1.81E-14,2E-14,1.63E-14,3.97E-15,4.63E-15,3.31E-15,0.004,,
CXOU J192105.4+374457  ,290.272575,37.749358,2.92E-15,NGC6791CXO      ,CHANDRA      ,2CXO J192105.4+374457 ,290.272655,37.749443,4.062,4.99E-15,6.3E-15,3.6E-15,6.54E-16,9.43E-16,3.65E-16,0.006,,
CXOU J192107.4+374756  ,290.280916,37.799056,3.18E-15,NGC6791CXO      ,CHANDRA      ,2CXO J192107.4+374756 ,290.280849,37.798997,4.4,5.05E-15,6.35E-15,3.74E-15,8.92E-16,1.21E-15,5.6E-16,0.005,,
EI UMA                 ,129.59,48.63333,0,RBS             ,ROSAT        ,2CXO J083821.9+483803 ,129.591626,48.634192,198.4,2.43E-11,2.45E-11,2.42E-11,3.09E-12,3.12E-12,3.05E-12,0.083,,
GK PER                 ,52.799167,43.904722,0,INTREFCAT       ,INTEGRAL     ,2CXO J033111.9+435415 ,52.799982,43.904258,104.6,3.1E-12,3.13E-12,3.07E-12,1.26E-13,1.29E-13,1.23E-13,0.045,,
GK PER                 ,52.799,43.905,1.665E-11,IBISCAT         ,INTEGRAL     ,2CXO J033111.9+435415 ,52.799982,43.904258,104.6,3.1E-12,3.13E-12,3.07E-12,1.26E-13,1.29E-13,1.23E-13,0.062,,
IGR J00234+6141        ,5.74,61.684,7.296E-12,INTIBISGAL      ,INTEGRAL     ,2CXO J002257.6+614107 ,5.740186,61.685396,38.79,5.59E-12,5.73E-12,5.45E-12,6.06E-13,6.33E-13,5.8E-13,0.084,,
IGR J15529-5029        ,238.195,-50.498,3.028E-12,IBISCAT         ,INTEGRAL     ,2CXO J155246.9-502953 ,238.195492,-50.498168,14.12,1.01E-12,1.08E-12,9.36E-13,7.14E-14,8.16E-14,6.12E-14,0.021,,
IGR J16500-3307        ,252.481667,-33.117222,0,INTREFCAT       ,INTEGRAL     ,2CXO J164955.6-330702 ,252.481929,-33.117333,11.98,0,              ,              ,0,              ,              ,0.015,,
IGR J18048-1455        ,271.162,-14.946,6.813E-12,IBISCAT         ,INTEGRAL     ,2CXO J180438.9-145647 ,271.162331,-14.946391,5.656,0,              ,              ,0,              ,              ,0.03,,
IGR J19267+1325        ,291.6125,13.368056,0,INTREFCAT       ,INTEGRAL     ,2CXO J192626.9+132205 ,291.612433,13.36808,32.5,5.29E-12,5.45E-12,5.12E-12,4.81E-13,5.09E-13,4.53E-13,0.004,,
IGR J19267+1325        ,291.612,13.368,4.542E-12,IBISCAT         ,INTEGRAL     ,2CXO J192626.9+132205 ,291.612433,13.36808,32.5,5.29E-12,5.45E-12,5.12E-12,4.81E-13,5.09E-13,4.53E-13,0.026,,
XMMSL2 J002402.8-720447,6.004696,-72.081982,3.115E-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002400.9-720453 ,6.004075,-72.081474,61.02,2.08E-13,2.12E-13,2.04E-13,5.66E-14,5.86E-14,5.45E-14,0.033,,
XMMSL2 J004247.1+411624,10.696348,41.273173,5.629E-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J004247.1+411619 ,10.696541,41.272151,52.93,0,              ,              ,0,              ,              ,0.062,,
XMMSL2 J033112.3+435412,52.801643,43.90339,1.649E-11,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J033111.9+435415 ,52.799982,43.904258,104.6,3.1E-12,3.13E-12,3.07E-12,1.26E-13,1.29E-13,1.23E-13,0.089,,
XMMSL2 J164955.5-330659,252.482047,-33.116455,8.927E-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J164955.6-330702 ,252.481929,-33.117333,11.98,0,              ,              ,0,              ,              ,0.053,,
