obs_id,true_class,level_a_prob,level_a_class,level_b_prob,level_b_class,th_class,truth,is_ok,class,src_n,src_id,significance
NS_OBS_140,NS,0.9850780926127404,['XRB'],0.975979366654501,NS,NS,1,1,NS,KS 1731-260         ,NS0033,14.81
NS_OBS_24,NS,0.9874124385796249,['XRB'],0.9930727627762262,NS,NS,1,1,NS,1A 1742-289         ,NS0001,167.36
CV_OBS_333,CV,0.9705756424836064,['CV'],0.9573204668724878,CV,CV,1,1,CV,2XMM J004414.4+412204 ,CV0054,6.53
CV_OBS_480,CV,0.5626110518792321,['XRB'],0.9129825466543923,CV,CV,1,1,CV,CXOGLB J002404.9-72050,CV0078,4.19
NS_OBS_229,NS,0.9644472854155539,['XRB'],1.0,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
NS_OBS_404,NS,0.9874769547360843,['XRB'],0.996042345276873,NS,NS,1,1,NS,SAXWFC J1748.1-2446.,NS0072,19.47
NS_OBS_397,NS,0.7958286995539468,['XRB'],0.9251912316076176,NS,NS,1,1,NS,SAXWFC J1748.1-2446.,NS0072,19.47
CV_OBS_625,CV,0.994051122926991,['CV'],0.9984555555555557,CV,CV,1,1,CV,CXOGLB J002410.6-72051,CV0090,6.98
NS_OBS_216,NS,0.9028675721932431,['XRB'],0.9958625336927224,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
NS_OBS_424,NS,0.9573333605345062,['XRB'],0.9766287607392983,NS,NS,1,1,NS,1WGA J1911.2+0035   ,NS0078,44.36
BH_OBS_107,BH,0.9812895154041654,['XRB'],0.9911765893746104,BH,BH,1,1,BH,CXOU J100517.1-07421,BH0022,11.12
NS_OBS_331,NS,0.9897704829516876,['XRB'],0.9794049915330629,NS,NS,1,1,NS,J1748-2021#2        ,NS0056,6.25
CV_OBS_355,CV,0.9434412422876584,['CV'],0.979352896262124,CV,CV,1,1,CV,CXOGLB J002359.3-72043,CV0066,3.43
BH_OBS_28,BH,0.9779081006273763,['XRB'],0.9634251746246909,BH,BH,1,1,BH,SAX J1819.3-2525    ,BH0009,26.51
CV_OBS_500,CV,0.9487062967313082,['CV'],0.9793167995634231,CV,CV,1,1,CV,CXOGLB J002405.6-72044,CV0080,20.78
CV_OBS_581,CV,0.9813537827510843,['CV'],0.9920311570103273,CV,CV,1,1,CV,CXOGLB J002408.2-72043,CV0086,12.82
NS_OBS_171,NS,0.9747379454745606,['XRB'],1.0,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
PULSAR_OBS_413,PULSAR,0.9680987777990512,['PULSAR'],0.9975994299610386,PULSAR,PULSAR,1,1,PULSAR,PSR J2021+365,PL0120,33.6
NS_OBS_362,NS,0.9988197969543148,['XRB'],0.9967250673854449,NS,NS,1,1,NS,SAXWFC J1734.2-2605.,NS0066,2.56
PULSAR_OBS_15,PULSAR,0.5730397932518395,['PULSAR'],0.7818053487619355,PULSAR,PULSAR,1,1,PULSAR,PSR J0100-7211,PL0003,65.51
NS_OBS_168,NS,0.9744785408600936,['XRB'],0.9951662714614194,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
NS_OBS_324,NS,0.9143291322745781,['XRB'],0.9919700092301162,NS,NS,1,1,NS,XTE J1739-285       ,NS0051,4.38
NS_OBS_157,NS,0.9501156587895698,['XRB'],0.99223269990115,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
BH_OBS_92,BH,0.9937343373189199,['XRB'],0.8119316215246545,BH,BH,1,1,BH,CXOU J100516.2-07423,BH0020,16.78
CV_OBS_345,CV,0.8285047046031605,['CV'],0.835576805099151,CV,CV,1,1,CV,2XMM J231519.0-591029 ,CV0062,10.04
NS_OBS_313,NS,0.9750439175098112,['XRB'],0.9881963747947706,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0046,4.71
CV_OBS_399,CV,0.9375648658043633,['CV'],0.9854977009361992,CV,CV,1,1,CV,CXOGLB J002402.5-72051,CV0070,22.52
BH_OBS_192,BH,0.9283551212266875,['XRB'],0.9693997067244408,BH,BH,1,1,BH,SAXWFC J1819.4-2524.,BH0030,2.24
BH_OBS_86,BH,0.9925541342732346,['XRB'],0.9328231619740529,BH,BH,1,1,BH,CXOU J100516.2-07423,BH0020,16.78
BH_OBS_85,BH,0.9671964177405035,['XRB'],0.9991374663072776,BH,BH,1,1,BH,CXOU J100516.2-07423,BH0020,16.78
CV_OBS_773,CV,0.9895876036136865,['CV'],0.9984555555555555,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
PULSAR_OBS_145,PULSAR,0.9123472209581338,['PULSAR'],0.924812159562483,PULSAR,PULSAR,1,1,PULSAR,PSR J1124-3653,PL0041,10.27
PULSAR_OBS_267,PULSAR,0.9938083466272087,['PULSAR'],0.9883092020592019,PULSAR,PULSAR,1,1,PULSAR,PSR J1745-2900,PL0081,107.91
CV_OBS_715,CV,1.0,['CV'],1.0,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
BH_OBS_80,BH,0.9747460885094498,['XRB'],0.9747884492128849,BH,BH,1,1,BH,CXOU J100515.4-07425,BH0019,17.39
CV_OBS_324,CV,0.8755908272836433,['CV'],0.9777496804196157,CV,CV,1,1,CV,1WGA J1740.6-5340     ,CV0051,64.73
PULSAR_OBS_398,PULSAR,0.9973086683775305,['PULSAR'],0.9590205997271865,PULSAR,PULSAR,1,1,PULSAR,PSR J1930+1852,PL0112,133.82
CV_OBS_4,CV,0.980199200493012,['CV'],0.9801684518551558,CV,CV,1,1,CV,[HPH2013] 100         ,CV0002,37.03
NS_OBS_370,NS,0.9398446477809457,['XRB'],0.9663119095773398,NS,NS,1,1,NS,SAXWFC J1744.9-2921.,NS0068,9.04
PULSAR_OBS_51,PULSAR,0.9401366172522606,['PULSAR'],0.9537522753720353,PULSAR,PULSAR,1,1,PULSAR,PSR J0418+5732,PL0011,73.32
PULSAR_OBS_427,PULSAR,0.9377107319873786,['PULSAR'],0.9673057803312289,PULSAR,PULSAR,1,1,PULSAR,PSR J2043+171,PL0126,2.8
CV_OBS_614,CV,0.8673250364338762,['CV'],0.8983145963655769,CV,CV,1,1,CV,CXOGLB J002410.0-72044,CV0089,8.28
NS_OBS_128,NS,0.8052550500519429,['XRB'],0.9573205261062528,NS,NS,1,1,NS,H 1658-298          ,NS0024,31.12
CV_OBS_566,CV,0.9753935053991798,['CV'],0.9696255436542988,CV,CV,1,1,CV,CXOGLB J002407.9-72045,CV0085,16.47
CV_OBS_282,CV,0.9936802030456853,['CV'],1.0,CV,CV,1,1,CV,[HPH2013] 50          ,CV0037,9.94
NS_OBS_91,NS,0.9476489592643617,['XRB'],0.972320413542785,NS,NS,1,1,NS,EXO 1745-248        ,NS0020,23.47
BH_OBS_99,BH,0.9465707309338405,['XRB'],0.9982749326145551,BH,BH,1,1,BH,CXOU J100516.5-07420,BH0021,16.75
PULSAR_OBS_151,PULSAR,0.9927403676056328,['PULSAR'],0.9919284744551626,PULSAR,PULSAR,1,1,PULSAR,PSR J1124-591,PL0042,144.29
NS_OBS_137,NS,0.9876393234784098,['XRB'],0.9466983248303852,NS,NS,1,1,NS,KS 1731-260         ,NS0033,14.81
PULSAR_OBS_174,PULSAR,0.9934982591339409,['PULSAR'],0.990258483033932,PULSAR,PULSAR,1,1,PULSAR,PSR J1550-5418,PL0060,122.14
CV_OBS_707,CV,0.9947208121827411,['CV'],0.9973604060913707,CV,CV,1,1,CV,XMMSL2 J004231.9+41162,CV0110,174.76
BH_OBS_33,BH,0.8442541192470081,['XRB'],0.9741324066255906,BH,BH,1,1,BH,XTE J1550-564       ,BH0010,29.24
CV_OBS_390,CV,0.9154644339969054,['CV'],0.9602213137490814,CV,CV,1,1,CV,CXOGLB J002402.1-72054,CV0069,46.73
BH_OBS_12,BH,0.9443800831284712,['XRB'],0.9795056824800905,BH,BH,1,1,BH,GINGA 1354-645      ,BH0003,20.86
CV_OBS_641,CV,0.9208415340866734,['CV'],0.9704545392977866,CV,CV,1,1,CV,CXOGLB J002410.7-72042,CV0091,23.78
CV_OBS_94,CV,0.9402332609128855,['CV'],0.9951595248465788,CV,CV,1,1,CV,[HPH2013] 123         ,CV0006,23.44
PULSAR_OBS_275,PULSAR,0.9854993564993564,['PULSAR'],0.9898791316979938,PULSAR,PULSAR,1,1,PULSAR,PSR J1745-2900,PL0081,107.91
CV_OBS_517,CV,0.9720494628976395,['CV'],0.9881372948448284,CV,CV,1,1,CV,CXOGLB J002406.0-72045,CV0081,25.99
CV_OBS_626,CV,0.9609025858918457,['CV'],0.812589923139683,CV,CV,1,1,CV,CXOGLB J002410.6-72051,CV0090,6.98
PULSAR_OBS_178,PULSAR,0.9746377245508977,['PULSAR'],0.8795418352484216,PULSAR,PULSAR,1,1,PULSAR,PSR J1617-5055,PL0062,85.97
NS_OBS_219,NS,0.9087213701496377,['XRB'],0.9950876010781671,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
NS_OBS_383,NS,0.9955238839316576,['XRB'],0.9987825651302604,NS,NS,1,1,NS,SAXWFC J1748.1-2446.,NS0071,2.75
NS_OBS_126,NS,0.8943578536655032,['XRB'],0.8818197041861986,NS,NS,1,1,NS,H 1658-298          ,NS0024,31.12
NS_OBS_400,NS,0.7116583550790548,['XRB'],0.9833626462561901,NS,NS,1,1,NS,SAXWFC J1748.1-2446.,NS0072,19.47
NS_OBS_307,NS,0.9964593908629442,['XRB'],1.0,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0046,4.71
PULSAR_OBS_146,PULSAR,0.9957079825089117,['PULSAR'],0.99833247790134,PULSAR,PULSAR,1,1,PULSAR,PSR J1124-591,PL0042,144.29
