
#ATNF Pulsar Catalogue
#Catalogue Version: 1.65
INDEX;NAME;PSRJ;RAJ;DECJ;RAJD;DECJD;BINCOMP;ASSOC;SURVEY;PSR;
#;;;(hms);(dms);(deg);(deg);;;;TYPE;
142;J0344-0901;J0344-0901;03:44:37.4;-09:01:02.6;56.15612917;-9.01740556;*;*;fast_uwb;*;
143;J0348+0432;J0348+0432;03:48:43.6;+04:32:11.4;57.18182917;4.53651611;He[afw+13];*;gb350,lotaas;*;
144;J0349+2340;J0349+2340;03:49:57.3;+23:40:53;57.48908333;23.68138889;*;*;lotaas;*;
145;J0357+3205;J0357+3205;03:57:52.5;+32:05:25;59.46875000;32.09027778;*;GRS:4FGL_J0357.8+3204[fermi21];FermiBlind;NRAD;
146;B0353+52;J0357+5236;03:57:44.8;+52:36:57.4;59.43683458;52.61597028;*;*;gb2,gbncc;*;
147;J0358+4155;J0358+4155;03:58:03.1;+41:55:19.0;59.51322767;41.92195353;*;*;gbncc,lotaas;*;
148;B0355+54;J0358+5413;03:58:53.7;+54:13:13.7;59.72384917;54.22049556;*;XRS:PWN[mvk+06];misc,jb1,gb1,gb2,gb3,gb4,gbncc,lota;HE[to07];
149;J0358+6627;J0358+6627;03:58:37.9;+66:27:46.5;59.65803763;66.46293697;*;*;gbncc,lotaas;*;
150;J0359+5414;J0359+5414;03:59:26.0;+54:14:55.7;59.85837500;54.24880556;*;GRS:4FGL_J0359.4+5414[fermi21],XRS:[wcp+;FermiBlind;NRAD;
151;B0403-76;J0401-7608;04:01:51.7;-76:08:12.9;60.46562500;-76.13693056;*;*;mol2,pks70;*;
152;B0402+61;J0406+6138;04:06:30.0;+61:38:41.4;61.62533583;61.64483556;*;*;gb1,gb2,gb3,gb4,lotaas;*;
153;J0407+1607;J0407+1607;04:07:54.9;+16:07:16.4;61.97891250;16.12122222;He[lxf+05];*;ar4,lotaas;*;
154;J0408+551;J0408+551;04:08;+55;62.00000000;55.00000000;*;*;gb350,lotaas;*;
155;J0408+552;J0408+552;04:08;+55;62.00000000;55.00000000;*;*;gb350;*;
156;J0410-31;J0410-31;04:10:39;-31:07:29;62.66250000;-31.12472222;*;*;htru_pks;RRAT;
157;J0413+58;J0413+58;04:13;+58;63.25000000;58.00000000;*;*;gb350,lotaas;*;
158;B0410+69;J0415+6954;04:15:55.6;+69:54:09.8;63.98188898;69.90274737;*;*;gb2,gb4,gbncc,lotaas;*;
159;J0417+35;J0417+35;04:17:43;+35:45;64.42916667;35.75000000;*;*;ar4,lotaas;*;
