A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,XOFFSET_
PSR J1531-5610 ,-56.182037,2CXO J153127.8-561055 ,232.86624,-56.182036,232.866254,0.001
PSR J1514-4946 ,-49.771096,2CXO J151419.0-494615 ,228.579492,-49.770977,228.579642,0.009
PSR J1614-2230 ,-22.508628,2CXO J161436.5-223031 ,243.652113,-22.508686,243.652114,0.003
PSR J1550-5418 ,-54.306649,2CXO J155054.1-541823 ,237.725463,-54.306698,237.725516,0.004
PSR J1550-5418 ,-54.30637,2CXO J155053.7-541822X,237.72384,-54.306698,237.725516,0.062
PSR J1635-4735 ,-47.589821,2CXO J163551.8-473523 ,248.965919,-47.589808,248.966017,0.004
PSR J1617-5055 ,-50.920227,2CXO J161729.3-505512 ,244.372309,-50.920333,244.372083,0.011
PSR J1622-4950 ,-49.847976,2CXO J162244.8-495052 ,245.687059,-49.848444,245.686667,0.032
PSR J1628-3205 ,-32.096931,2CXO J162806.9-320548 ,247.029127,-32.096917,247.029167,0.002
PSR J1640-4631 ,-46.526447,2CXO J164043.5-463135 ,250.181342,-46.5265,250.181333,0.003
PSR J1647-4552 ,-45.871404,2CXO J164710.2-455217 ,251.792604,-45.871333,251.7925,0.006
PSR J1653-0158 ,-1.97686,2CXO J165338.0-015836 ,253.408534,-1.976915,253.408558,0.004
PSR J1658-5324 ,-53.401932,2CXO J165839.3-532406 ,254.663967,-53.401945,254.663932,0.002
PSR J1702-4128 ,-41.48007,2CXO J170252.4-412848 ,255.7187,-41.480056,255.718833,0.006
PSR J1714-3830 ,-38.506216,2CXO J171419.8-383022 ,258.582695,-38.506389,258.5825,0.014
PSR J1709-4429 ,-44.48454,2CXO J170942.4-442904X,257.426935,-44.485622,257.428033,0.08
PSR J1714-3810 ,-38.175265,2CXO J171405.7-381030 ,258.523908,-38.17525,258.523917,0.001
PSR J1714-3830 ,-38.506445,2CXO J171419.3-383023X,258.580739,-38.506389,258.5825,0.083
PSR J1708-4008 ,-40.147996,2CXO J170846.8-400852 ,257.195359,-40.1479,257.195292,0.007
PSR J1709-4429 ,-44.485678,2CXO J170942.7-442908 ,257.42801,-44.485622,257.428033,0.004
PSR J1714-3830 ,-38.507197,2CXO J171419.9-383025 ,258.583177,-38.506389,258.5825,0.058
PSR J1718-3825 ,-38.421655,2CXO J171813.6-382517 ,259.556682,-38.421683,259.556521,0.008
PSR J1718-3825 ,-38.421746,2CXO J171813.9-382518X,259.558294,-38.421683,259.556521,0.083
PSR J1732-3131 ,-31.523318,2CXO J173233.5-313123 ,263.139795,-31.523056,263.13975,0.016
PSR J1730-3350 ,-33.843575,2CXO J173032.3-335036 ,262.634793,-33.844278,262.635663,0.06
PSR J1745-2900 ,-29.006253,2CXO J174539.8-290022 ,266.415977,-29.008304,266.417359,0.143
PSR J1740+1000 ,10.001684,2CXO J174025.9+100006 ,265.108131,10.00175,265.108125,0.004
PSR J1745-2900 ,-29.007799,2CXO J174540.0-290028 ,266.416843,-29.008304,266.417359,0.041
PSR J1744-1134 ,-11.581923,2CXO J174429.4-113454 ,266.122503,-11.581856,266.122524,0.004
PSR J1745-2900 ,-29.008247,2CXO J174539.7-290029 ,266.415761,-29.008304,266.417359,0.084
PSR J1745-2900 ,-29.008273,2CXO J174540.1-290029 ,266.417364,-29.008304,266.417359,0.002
PSR J1745-2900 ,-29.010061,2CXO J174540.4-290036 ,266.418614,-29.008304,266.417359,0.124
PSR J1745-2900 ,-29.010921,2CXO J174540.3-290039 ,266.417963,-29.008304,266.417359,0.16
PSR J1745-2900 ,-29.009868,2CXO J174540.7-290035 ,266.419968,-29.008304,266.417359,0.166
PSR J1824-2452A,-24.869359,2CXO J182432.2-245209 ,276.134433,-24.869676,276.133366,0.061
PSR J1803-2137 ,-21.618674,2CXO J180351.4-213707 ,270.964349,-21.618709,270.96421,0.008
PSR J1809-1943 ,-19.731093,2CXO J180951.0-194351 ,272.462855,-19.731092,272.462862,0.0
