,SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_,SRC_ID,src_pred
91,TC0092,CXOGLB J002402.5-720444,[GHE2001] W54 ,6.010438,-72.07901899999999,AB           ,?                 ,2CXO J002402.5-720444,6.010455,-72.079034,0.001,TC0096,CV
92,TC0093,CXOGLB J002403.4-720505,[GHE2001] W47 ,6.014375,-72.0848,AB           ,                  ,2CXO J002403.4-720505,6.014514,-72.084816,0.003,TC0097,CV
93,TC0094,CXOGLB J002404.2-720443,[GHE2001] W43 ,6.0177,-72.078761,AB           ,                  ,2CXO J002404.2-720443,6.017723999999999,-72.078755,0.001,TC0098,PULSAR
94,TC0095,CXOGLB J002404.3-720501,[GHE2001] W41 ,6.018013,-72.083697,AB           ,                  ,2CXO J002404.3-720501,6.018135,-72.083736,0.003,TC0099,CV
95,TC0096,CXOGLB J002404.2-720443,[GHE2001] W43 ,6.017629,-72.07884399999999,AB           ,                  ,2CXO J002404.4-720444,6.018357,-72.07900500000001,0.017,TC0100,CV
96,TC0097,CXOGLB J002404.8-720446,[GHE2001] W38 ,6.020367,-72.07946899999999,AB           ,                  ,2CXO J002404.9-720446,6.020592,-72.079522,0.005,TC0101,CV
97,TC0098,CXOGLB J002405.1-720502,[GHE2001] W98 ,6.021242,-72.084108,AB           ,?                 ,2CXO J002405.0-720502,6.021205,-72.08409499999999,0.001,TC0102,CV
98,TC0099,CXOGLB J002405.1-720604,[GHE2001] W121,6.021483,-72.101239,AB           ,                  ,2CXO J002405.1-720604,6.021642,-72.101254,0.003,TC0103,CV
99,TC0100,CXOGLB J002406.0-720346,[GHE2001] W168,6.025054,-72.062842,AB           ,?                 ,2CXO J002406.0-720346,6.025092,-72.062865,0.002,TC0104,PULSAR
100,TC0101,CXOGLB J002406.3-720452,[GHE2001] W75 ,6.02655,-72.081347,AB           ,                  ,2CXO J002406.3-720452,6.026598,-72.08135,0.001,TC0105,CV
101,TC0102,CXOGLB J002406.5-720430,[GHE2001] W76 ,6.027108,-72.075128,AB           ,                  ,2CXO J002406.4-720430,6.026943,-72.075088,0.004,TC0106,CV
102,TC0103,CXOGLB J002406.8-720512,[GHE2001] W26 ,6.028442,-72.086772,AB           ,                  ,2CXO J002406.8-720512,6.028633999999999,-72.08681,0.004,TC0107,CV
103,TC0104,CXOGLB J002407.2-720446,[GHE2001] W141,6.0301919999999996,-72.079567,AB           ,?                 ,2CXO J002407.2-720446,6.030276000000001,-72.07959100000001,0.002,TC0108,CV
104,TC0105,CXOGLB J002407.3-720449,[GHE2001] W24 ,6.030787,-72.080453,AB           ,?                 ,2CXO J002407.2-720450,6.030259,-72.08058299999999,0.013000000000000001,TC0109,CV
105,TC0106,CXOGLB J002407.2-720457,[GHE2001] W73 ,6.030033,-72.082614,AB           ,                  ,2CXO J002407.2-720457,6.030138,-72.082654,0.003,TC0110,CV
106,TC0107,CXOGLB J002407.3-720449,[GHE2001] W24 ,6.0305919999999995,-72.080389,AB           ,?                 ,2CXO J002407.3-720449,6.030684,-72.080402,0.002,TC0111,CV
