obs_id,src_id,num_obs,sepn,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_b,photflux_aper_m,photflux_aper_h,photflux_aper_s,hard_hm,flux_aper_b,hard_hs,hard_ms,flux_aper_s,flux_aper_m,flux_aper_h,photflux_aper_u,var_inter_prob_b,var_inter_index_b,var_inter_sigma_b,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_sigma_m,var_inter_index_m,var_inter_prob_m,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,flux_aper_u,var_max_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b
CV_10_obs_9,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,9926.1,31.92,4878.009,CV,4.993533957750769,5.748922250794368,5.124533584133615,6.194159451185327,0.5850850000000004,13.155771418698372,0.8745,0.8118470000000001,15.05843887976393,14.321658695718277,13.163549286279846,5.7983469723446355,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.000840258461032,0.00439096,0.21012999999999996,0.32203,0.4429100000000004,0.00018157750000000013,0.003740200000000003,0.003362770000000003
CV_10_obs_10,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,9838.6,31.92,4878.009,CV,5.151810883008602,5.966978555317089,5.30163843394489,7.00475207833735,0.6508,13.24542234395527,0.9994,0.9994,15.777377287270985,14.570086302236245,13.24063437834407,5.973736441165957,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.490792586410798,0.003664,0.375,0.507,0.525,0.0002997,0.002508,0.0022670000000000004
CV_10_obs_11,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,29672.1,31.92,4878.009,CV,5.001391970684906,5.7677664788852665,5.1962015920103255,6.758951849328356,0.5821,13.255394124585761,0.9457,0.807,15.607303046740334,14.355167671174364,13.284498054706717,5.919879760514014,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.506245701364373,0.003626,0.233,0.8190000000000001,0.961,0.00014509999999999998,0.003385,0.003203
CV_10_obs_12,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,39539.1,31.92,4878.009,CV,5.018226681372253,5.750801642608887,5.222645686915791,6.92009553233328,0.5422,13.27392512978463,0.9606,0.8707,15.853871964321762,14.331893762067269,13.301290650557414,5.904183403880617,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.339268775290941,0.007210999999999999,0.405,0.42,0.147,0.0004347,0.003269,0.003032
CV_10_obs_13,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,13874.2,31.92,4878.009,CV,5.056456022846546,5.750557038557417,5.285502591350194,6.650139917807668,0.5072,13.224753740259764,0.9219,0.7733,15.487182241435127,14.325047051951435,13.249183157350245,5.538051504796238,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,13.809388202186396,0.004640999999999999,0.273,0.153,0.16699999999999998,0.0002454,0.002916,0.002766
CV_10_obs_14,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,46455.5,31.92,4878.009,CV,5.01519726640409,5.8608329193591935,5.168544503883689,6.887355769035274,0.5559,13.290275573754872,0.9994,0.9994,15.722295614138773,14.470785540527075,13.333316938753283,5.991422235333438,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.297945889750522,0.003453,0.068,0.521,0.728,1.037e-05,0.003441,0.003426
CV_10_obs_15,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,9844.9,31.92,4878.009,CV,5.136379779729684,5.940694615976981,5.171404543628298,6.799624953971443,0.9994,13.450751443145943,0.9994,0.9994,15.696039606445224,14.514593867749186,13.432033093176846,6.017640062254378,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.485828812972022,0.01005,0.07200000000000001,0.515,0.187,1.618e-05,0.01003,0.01001
CV_10_obs_16,CV_10,17,0.5154834, 2CXO J174804.0-244640,267.0171,-24.77796,36257.2,31.92,4878.009,CV,5.071450532998336,5.92701525537207,5.227311645317858,7.111764326729433,0.6721,13.305219363987938,0.9756,0.8795,15.777677537890026,14.506960411682348,13.320844758716646,5.9617939440683525,0.745,5.0,2.427e-06,0.0,0.235,6.917e-07,4.879999999999999e-07,5.0,0.93,3.0,0.48,1.626e-06,14.670704397777651,0.005181,0.606,0.967,0.8909999999999999,0.000868,0.002912,0.001779
CV_100_obs_0,CV_100,2,0.1046825, 2CXO J171707.6+430805,259.282,43.134879999999995,29661.2,2.85,29.665979999999998,CV,6.418164075942352,6.815876645760329,6.588548657862063,,0.3098,14.738261452647462,0.9994,0.9994,,15.387428045934824,14.776504059037606,,0.9129999999999999,6.0,3.406e-07,6.0,0.922,2.792e-07,4.282e-08,0.0,0.368,3.0,0.524,1.517e-07,,,,,,,,
CV_100_obs_1,CV_100,2,0.1046825, 2CXO J171707.6+430805,259.282,43.134879999999995,22925.2,2.85,29.665979999999998,CV,5.895171596346344,6.610833915635467,6.312738653756494,6.549135307620234,0.376,13.9051796196452,0.2811,-0.1137,15.353694319715242,15.229147988357855,13.938547520912806,,0.9129999999999999,6.0,3.406e-07,6.0,0.922,2.792e-07,4.282e-08,0.0,0.368,3.0,0.524,1.517e-07,,0.001085,0.851,0.992,0.992,0.0002311,0.0004495,0.0002434
