#index,ra,dec,
657,12:51:52.9,-74:07:15.0,
658,12:52:42.6,-63:14:32.7,
659,12:53:28.3,-58:20:40.8,
660,12:54:32.4,-61:50:50.8,
661,12:55,-46:00,
662,12:55:54.8,-61:31:10.1,
663,12:55:18,-62:48,
664,12:57:04.7,-10:27:05.5,
665,12:59:22.6,-67:41:40.2,
666,13:00:03.5,+12:40:56.4,
667,13:00:26.9,-66:02:16.8,
668,13:01:38.2,+08:33:57.5,
669,13:01:45.7,-63:05:33.9,
670,13:01:28.3,-63:10:40.5,
671,13:02,-32:00,
672,13:02:04,-63:44:53,
673,13:02:19.2,-63:13:29,
674,13:02:47.6,-63:50:08.6,
675,13:03:18,+38:13,
676,13:03:00.0,-63:05:00.8,
677,13:05:21.1,-62:03:21.0,
678,13:05:28.0,-62:56:39,
679,13:05:23.4,-64:55:28.5,
680,13:05:36,-66:39,
681,13:06:56.3,-40:35:23.3,
682,13:06:44.6,-62:42:03,
683,13:06:38.1,-66:17:21.2,
684,13:07:54.7,-63:18:35,
685,13:07:41,-67:03:27,
686,13:08:48.2,+21:27:06.7,
687,13:08:44.5,-46:50:29.7,
688,13:08:21.0,-58:44:13.8,
689,13:09:16.6,-64:15:59,
690,13:09:00.2,-65:26:16.6,
691,13:11:52.6,-12:28:01.6,
692,13:11:45.7,-34:30:30.3,
693,13:12:46.6,+00:51:00.1,
694,13:12:55,+18:10,
695,13:12:04.7,-54:02:42.5,
696,13:12:53.5,-55:16:47.3,
697,13:12:07.1,-64:00:55.6,
698,13:13:23.0,+09:31:56,
699,13:14:23.4,-61:01:16,
700,13:16:46.3,-62:32:12.2,
701,13:17:46.2,-57:59:30.5,
702,13:17:44.6,-63:02:52.2,
703,13:19:20.2,-60:56:46.7,
704,13:19:26.3,-61:05:26.2,
705,13:20:12.6,-35:12:26.0,
706,13:20:53.9,-53:59:05.0,
707,13:20,+67:30,
708,13:21:39.5,-59:22:52.1,
709,13:21:45.6,+83:23:39.4,
710,13:22:54,-62:51,
711,13:22:32.1,-62:41:53.5,
712,13:22:18.0,-63:29:37,
713,13:24:43.9,-61:46:00,
