"Number
(1)","RXJ
(2)","X(2000)
(3)","X(2000)
(4)","Count Rate
(5)","HR1
(6)","HR2
(7)","fX
(8)",(9),(10),"Q
(11)","Classification
(12)","z/Sp
(13)","V
(14)","B-V
(15)","IX,V
(16)","f4.85
(17)","Alternate
Designation
(18)","Remarks
(19)"
B010...,0651.1+6842,6 51 06.7,+68 42 37,0.036 ± 0.011,-0.01 ± 0.32,-0.06 ± 0.41,8.7,-31,-13,1,QSO,0.698,18.88,0.36,0.86,*,,
B013...,0701.0+6541,7 01 01.2,+65 41 50,0.052 ± 0.014,+0.24 ± 0.26,-0.02 ± 0.32,3.1,-6,0,1,st,K2e,12.25,1.04,-2.24,*,,
B014...,0701.3+6827,7 01 23.4,+68 27 43,0.052 ± 0.013,+0.01 ± 0.25,-0.16 ± 0.31,3.1,-9,-12,1,st,F5,8.8,0.1,-3.62,*,HD 51069,
B015...,0701.8+6617,7 01 49.2,+66 17 30,0.036 ± 0.012,+0.32 ± 0.33,+0.26 ± 0.38,8.6,-4,1,1,S1,0.276,18.65,*,0.76,*,,
B018...,0704.0+6214,7 04 05.0,+62 14 40,0.040 ± 0.013,+0.23 ± 0.35,+0.23 ± 0.36,2.4,-6,-21,1,"st, st","K7e, K9",12.85,1.16,-2.12,*,,R
B019...,0704.1+6203,7 04 07.8,+62 03 21,0.109 ± 0.019,+0.03 ± 0.17,+0.50 ± 0.22,4.5,-15,-6,1,ES,,19.06,1.16,0.64,*,,R
B020...,0704.3+6318,7 04 20.7,+63 18 11,0.237 ± 0.027,+0.83 ± 0.08,+0.58 ± 0.12,45.2,*,*,1,C,0.096,*,*,*,*,Abell 566,
B022...,0705.4+6333,7 05 27.3,+63 33 16,0.086 ± 0.017,+0.06 ± 0.20,+0.07 ± 0.27,20.9,-13,-16,1,QSO,0.154,15.05,0.34,-0.29,*,MS 0700+63,
B023...,0707.0+5752,7 07 00.5,+57 52 01,0.076 ± 0.017,-0.06 ± 0.21,-0.12 ± 0.32,4.6,-11,-35,1,st,K7e,12.68,1.33,-1.9,*,,
B024...,0707.2+6435,7 07 12.1,+64 35 51,0.855 ± 0.049,+0.26 ± 0.06,-0.04 ± 0.07,207.2,-6,-8,1,S1,0.079,14.24,0.79,0.38,*,VII Zw 118,
B025...,0708.0+5815,7 08 01.2,+58 15 42,0.041 ± 0.013,-0.27 ± 0.29,+1.04 ± 1.50,2.5,-7,-43,1,st,K7,10.9,*,-2.88,*,,
B026...,0708.7+6135,7 08 44.8,+61 35 23,0.055 ± 0.015,-0.37 ± 0.22,-0.55 ± 0.61,3.3,-1,4,1,st,M4e,15.31,1.23,-0.99,*,,
B027...,0710.4+5908,7 10 29.7,+59 08 02,1.000 ± 0.054,+0.62 ± 0.04,+0.17 ± 0.06,260.9,-2,-18,1,BLL,0.125,16.38,0.98,1.34,81,,R
B029...,0711.9+5730,7 11 56.7,+57 30 07,0.045 ± 0.012,+0.18 ± 0.27,-0.43 ± 0.31,2.7,*,*,1,"st, st","F5, G5",*,*,*,24,,R
B030...,0712.3+5719,7 12 18.7,+57 19 22,0.098 ± 0.017,+0.76 ± 0.15,+0.31 ± 0.19,24.1,-2,-26,1,BLL,,19.87,0.37,1.7,*,,R
B031...,0712.3+5931,7 12 21.2,+59 31 48,0.062 ± 0.014,+0.72 ± 0.17,+0.35 ± 0.25,12,*,*,1,C,,*,*,*,*,,R
B034...,0714.8+6208,7 14 52.3,+62 08 02,0.046 ± 0.013,-0.03 ± 0.27,+0.36 ± 0.34,2.7,-12,-12,1,st,G0,7.8,0.7,-4.07,*,HD 54943,
B035...,0715.7+5912,7 15 46.3,+59 12 33,0.036 ± 0.011,+0.62 ± 0.29,-0.09 ± 0.35,9.3,17,-26,1,S1,0.288,19.05,1.5,0.96,*,,
B036...,0716.1+5746,7 16 07.3,+57 46 04,0.040 ± 0.012,+0.79 ± 0.20,+0.50 ± 0.25,9.7,1,-20,1,S2,0.488,19.62,0.07,1.21,*,,
B039...,0717.4+6603,7 17 28.8,+66 03 35,0.072 ± 0.014,-0.11 ± 0.19,+0.25 ± 0.27,4.3,-2,-5,1,st,K3e,12.09,1.17,-2.16,*,,
B041...,0717.8+6430,7 17 53.7,+64 30 46,0.054 ± 0.013,+0.66 ± 0.22,+0.93 ± 0.44,13.1,-1,-2,1,QSO,0.633,17.69,0.05,0.56,*,,
B042...,0718.1+6005,7 18 06.9,+60 05 34,0.039 ± 0.012,+0.48 ± 0.31,+0.56 ± 0.30,9.7,-22,-29,1,QSO,1.018,20.36,*,1.5,*,,R
B043...,0719.2+6557,7 19 12.8,+65 57 30,0.179 ± 0.022,+0.43 ± 0.12,+0.52 ± 0.13,7.4,-10,-15,1,ES,,18.76,0.25,0.74,*,,R
B044...,0719.3+5708,7 19 23.5,+57 08 33,0.181 ± 0.023,+0.76 ± 0.10,+0.09 ± 0.14,44.6,-8,-6,1,S1,0.174,15.73,0.22,0.31,*,,
B045...,0719.9+6013,7 19 55.5,+60 13 40,0.050 ± 0.013,+0.37 ± 0.28,+0.46 ± 0.25,12.5,-2,-30,1,S1,0.041,15.5,*,-0.33,*,MCG +101125,
B046...,0720.6+6338,7 20 39.0,+63 38 45,0.050 ± 0.013,+1.26 ± 0.36,+0.42 ± 0.23,12.2,10,-22,1,S2,0.279,19.62,0.67,1.31,*,,
B047...,0720.6+6139,7 20 39.8,+61 39 47,0.036 ± 0.012,-0.05 ± 0.32,-0.04 ± 0.43,2.1,-35,23,1,st,F7,10.4,0.74,-3.14,*,,R
B048...,0720.7+6543,7 20 44.1,+65 43 48,0.035 ± 0.011,+0.55 ± 0.33,+0.72 ± 0.21,8.4,-28,-16,1,S1,0.483,19.66,0.45,1.16,129,,
B049...,0721.1+6739,7 21 06.7,+67 39 37,0.069 ± 0.014,-0.45 ± 0.20,-0.84 ± 0.70,4.1,-3,-2,2,st,K0,8.5,0.7,-3.61,*,HD 56168,
B052...,0723.2+5841,7 23 13.2,+58 41 23,0.053 ± 0.014,+0.50 ± 0.26,+0.04 ± 0.30,13,-7,2,1,BLL,,19.14,1.02,1.14,*,,R
B053...,0723.8+6504,7 23 52.6,+65 04 42,0.060 ± 0.014,+1.55 ± 0.40,+0.06 ± 0.25,8.1,-13,-13,1,Gr,0.219,18.61,0.64,0.72,363,4C 65.08,R
