"Number
(1)","RXJ
(2)","X(2000)
(3)","X(2000)
(4)","Count Rate
(5)","HR1
(6)","HR2
(7)","fX
(8)",(9),(10),"Q
(11)","Classification
(12)","z/Sp
(13)","V
(14)","B-V
(15)","IX,V
(16)","f4.85
(17)","Alternate
Designation
(18)","Remarks
(19)"
E214...,1732.5+7031,17 32 30.3,+70 31 43,0.033 ± 0.004,+0.59 ± 0.12,+0.03 ± 0.12,7.2,-3,12,1,AGN,0.209,17.63,0.31,0.28,*,,R
E218...,1732.5+7428,17 32 35.8,+74 28 08,0.010 ± 0.003,+0.42 ± 0.29,+0.04 ± 0.30,2.2,-15,23,1,S2,0.207,19.61,0.98,0.56,*,,
E221...,1732.6+7413,17 32 41.4,+74 13 46,1.240 ± 0.023,+0.13 ± 0.02,+0.18 ± 0.02,74.2,4,9,1,st,K0,6.55,1.05,-3.14,*,HD 160538,
E223...,1732.6+7124,17 32 41.8,+71 24 16,0.010 ± 0.003,+0.71 ± 0.25,+0.57 ± 0.23,1.8,*,*,1,C,0.061,*,*,*,*,,
E231...,1733.6+7435,17 33 39.0,+74 35 41,0.067 ± 0.006,+0.34 ± 0.09,+0.23 ± 0.11,14.8,*,*,4,,,*,*,*,*,,R
E239...,1734.6+7300,17 34 41.6,+73 00 28,0.013 ± 0.003,+0.71 ± 0.26,+0.15 ± 0.25,0.8,-22,-23,1,st,F0,9.03,0.72,-4.12,*,,
E244...,1734.9+7340,17 34 56.1,+73 40 04,0.013 ± 0.003,+0.10 ± 0.24,+0.58 ± 0.25,2.8,7,9,1,QSO,1.131,17.82,0.23,-0.06,*,,
E250...,1735.9+7241,17 35 59.5,+72 41 22,0.016 ± 0.003,+0.87 ± 0.13,-0.14 ± 0.22,2.9,*,*,1,C,,*,*,*,*,,R
E256...,1736.2+7152,17 36 15.0,+71 52 48,0.018 ± 0.003,-0.40 ± 0.14,-0.21 ± 0.39,1.1,9,3,1,st,M0,7.99,0.77,-4.41,*,,R
E259...,1736.6+7205,17 36 40.4,+72 05 34,0.022 ± 0.003,+0.84 ± 0.12,+0.13 ± 0.15,4.7,14,4,1,"S1, G","0.094,",14.3,*,-1.24,*,,R
E260...,1736.8+7234,17 36 48.0,+72 34 31,0.010 ± 0.003,+1.81 ± 0.54,+0.25 ± 0.22,1.8,*,*,1,C,,*,*,*,*,,R
E262...,1736.9+7420,17 36 54.1,+74 20 47,0.029 ± 0.004,-0.25 ± 0.13,-0.16 ± 0.22,1.8,-2,24,1,st,K0,7.75,0.96,-4.29,*,,
E265...,1737.4+7123,17 37 25.2,+71 23 57,0.071 ± 0.006,+0.32 ± 0.08,+0.03 ± 0.09,12.5,*,*,1,C,,*,*,*,*,,R
F001...,2152.0+0316,21 52 05.9,+3 16 55,0.033 ± 0.012,+0.46 ± 0.33,-0.01 ± 0.39,6.4,*,*,1,C,0.027,*,*,*,*,,
F002...,2152.0+1436,21 52 04.9,+14 36 20,0.036 ± 0.012,+0.74 ± 0.26,+0.28 ± 0.35,2.2,44,9,1,st,K0,8.2,1.2,-4.02,*,HD 207902,R
F003...,2152.1+0537,21 52 09.8,+5 37 42,0.235 ± 0.028,-0.18 ± 0.12,-0.09 ± 0.18,14.1,-5,-1,1,st,M3e,11.95,1.54,-1.7,*,,
F004...,2152.7+1341,21 52 42.4,+13 41 50,0.070 ± 0.018,+0.65 ± 0.30,+0.67 ± 0.36,19,*,*,1,"C, S1","0.202,",*,*,*,*,,R
F005...,2152.8+0523,21 52 50.0,+5 23 44,0.037 ± 0.012,-0.02 ± 0.32,+0.64 ± 0.53,9.2,60,-9,1,S2,0.181,20.23,0.5,1.42,*,,R
F006...,2153.2+1339,21 53 12.1,+13 39 26,0.052 ± 0.015,+0.94 ± 0.16,+0.39 ± 0.26,10.2,*,*,1,C,0.205,*,*,*,*,,
F007...,2153.5+0815,21 53 33.5,+8 15 04,0.037 ± 0.013,+0.79 ± 0.41,-0.02 ± 0.37,6.9,*,*,1,C,0.061,*,*,*,*,Abell 2388,
F008...,2153.6+1157,21 53 40.5,+11 57 51,0.040 ± 0.013,+0.49 ± 0.35,+0.04 ± 0.35,11.1,13,13,1,S1,0.125,18.12,0.75,0.66,*,,
F009...,2154.7+1433,21 54 44.3,+14 33 28,0.095 ± 0.019,+0.75 ± 0.15,-0.01 ± 0.21,5.7,13,-1,1,st,F5,9.05,*,-3.26,*,DF Peg,
F010...,2154.9+0720,21 54 59.5,+7 20 02,0.052 ± 0.014,+0.91 ± 0.20,+0.21 ± 0.27,12.7,-4,11,1,S1,0.352,*,*,*,*,,R
F011...,2155.2+0845,21 55 13.0,+8 45 53,0.049 ± 0.015,+0.74 ± 0.33,+0.29 ± 0.33,9.1,*,*,1,C,,*,*,*,*,Abell 2395,R
F012...,2155.2+0847,21 55 13.0,+8 47 52,0.043 ± 0.014,+0.38 ± 0.34,+0.22 ± 0.37,8,*,*,3,C,,*,*,*,*,,R
F013...,2155.7+1231,21 55 42.0,+12 31 46,0.163 ± 0.024,+0.89 ± 0.08,+0.37 ± 0.15,44.1,*,*,1,"C, Gr","0.194,",*,*,*,157,Abell 2396,R
F014...,2155.9+0705,21 55 59.6,+7 05 40,0.036 ± 0.013,+0.17 ± 0.34,+0.70 ± 0.30,8.8,-12,0,1,S1,0.267,16.75,*,0.02,*,,
F015...,2156.4+0516,21 56 27.0,+5 16 01,0.375 ± 0.036,-0.08 ± 0.09,-0.02 ± 0.13,22.4,-3,5,1,st,K2,11.05,0.94,-1.86,*,,
F016...,2156.7+1426,21 56 42.7,+14 26 35,0.055 ± 0.016,+0.47 ± 0.27,+0.57 ± 0.31,14.1,0,1,1,S1,0.356,19.7,0.26,1.4,*,,
F018...,2157.2+1014,21 57 13.1,+10 14 18,0.032 ± 0.012,+17.2 ± 57.4,+0.35 ± 0.33,7.8,5,-4,1,QSO,0.761,17.2,*,0.14,360,HB 892154+1,R
F019...,2157.4+0808,21 57 25.5,+8 08 28,0.038 ± 0.013,-1.12 ± 0.35,+9.99 ± 9.99,2.3,7,23,1,st,M1,11.02,1.45,-2.86,*,G18-8,
F020...,2157.5+0855,21 57 31.8,+8 55 04,0.071 ± 0.018,-0.42 ± 0.25,-0.35 ± 0.49,2.9,-7,-11,1,ES,,17.45,0.19,-0.18,*,,R
F022...,2159.2+0952,21 59 12.9,+9 52 49,0.245 ± 0.031,+0.49 ± 0.12,+0.29 ± 0.14,61,7,5,1,S1,0.101,15.52,0.51,0.36,*,,
F023...,2159.9+0302,21 59 59.1,+3 02 32,0.147 ± 0.023,+0.74 ± 0.12,-0.10 ± 0.17,8.8,-10,7,1,"st, AGN","G8,",9.7,0.9,-2.81,*,BD +02 4456,R
F024...,2201.1+0504,22 01 07.0,+5 04 36,0.055 ± 0.015,+0.52 ± 0.29,+0.32 ± 0.32,14,-3,-1,1,S1,0.233,17.58,0.29,0.55,135,,
F025...,2201.3+0855,22 01 23.2,+8 55 20,0.039 ± 0.015,-0.03 ± 0.39,+0.65 ± 0.96,10,*,*,4,,,*,*,*,*,,R
F026...,2202.2+1041,22 02 16.0,+10 41 12,0.038 ± 0.014,+0.95 ± 0.50,+0.88 ± 1.11,7.3,*,*,1,C,,*,*,*,*,,
F027...,2202.3+0353,22 02 20.8,+3 53 06,0.105 ± 0.021,-0.38 ± 0.18,-0.53 ± 0.30,6.3,10,-2,1,st,K7e,14.3,1.05,-1.11,79,,
F029...,2204.2+0439,22 04 17.7,+4 39 58,0.062 ± 0.018,+0.35 ± 0.30,-0.32 ± 0.37,15.9,11,-2,2,S1,0.028,14.7,*,-0.55,747,Z2201+0425,
F030...,2204.9+0749,22 04 58.9,+7 49 43,0.081 ± 0.018,+0.65 ± 0.20,+0.27 ± 0.24,4.8,-21,-4,1,st,K5e,13.45,1.01,-1.56,*,,
F031...,2206.1+1005,22 06 10.8,+10 05 14,0.208 ± 0.034,+0.19 ± 0.15,+0.09 ± 0.20,12.4,-15,-16,1,st,G8,10,0.1,-2.53,*,,R
F033...,2208.2+1036,22 08 16.8,+10 36 46,0.050 ± 0.016,+0.22 ± 0.31,-0.38 ± 0.70,3,63,5,3,st,M5e,15.28,1.58,-1.05,*,,R
F034...,2209.3+1031,22 09 18.5,+10 31 43,0.039 ± 0.014,+0.37 ± 0.31,-0.77 ± 0.54,10.1,-19,-1,1,BLL,,18.5,0.79,0.78,*,,R
F035...,2209.4+0853,22 09 24.1,+8 53 60,0.089 ± 0.022,+0.92 ± 0.20,+0.03 ± 0.26,23.7,-9,8,1,S1,0.047,*,*,*,*,,
F037...,2209.7+1032,22 09 45.3,+10 32 00,0.043 ± 0.014,+0.59 ± 0.27,-0.02 ± 0.36,2.6,13,8,1,st,G8,11.1,0.8,-2.78,*,,
F038...,2210.3+0546,22 10 19.4,+5 46 58,0.041 ± 0.016,+0.94 ± 0.29,+0.33 ± 0.36,11.5,10,14,1,S2,0.15,*,*,*,*,,
F039...,2210.3+0934,22 10 20.4,+9 34 53,0.047 ± 0.015,-0.14 ± 0.33,-0.82 ± 0.92,2.8,3,-26,1,st,M4e,15.52,1.09,-0.98,*,,
F040...,2210.8+0510,22 10 51.0,+5 10 43,0.042 ± 0.015,-0.18 ± 0.33,-0.44 ± 1.35,2.5,12,-3,1,st,M3e,15.35,1.08,-1.09,*,,
F042...,2211.5+0841,22 11 32.4,+8 41 06,0.044 ± 0.015,+0.39 ± 0.36,+0.90 ± 0.50,11.6,*,*,4,,,*,*,*,*,,R
F044...,2212.0+0819,22 12 02.4,+8 19 04,0.057 ± 0.017,+0.62 ± 0.26,+0.07 ± 0.32,15.5,13,-12,2,QSO,0.484,18.41,*,0.93,697,PKS 2209+08,R
F045...,2212.2+0351,22 12 16.2,+3 51 00,0.081 ± 0.020,+1.11 ± 0.29,-0.05 ± 0.24,21.3,-13,19,1,S1,0.214,18.59,0.62,1.13,*,,
F046...,2212.2+1329,22 12 13.8,+13 29 14,0.051 ± 0.016,-0.22 ± 0.27,-0.81 ± 0.71,3,7,-7,1,st,G5,8.7,0.66,-3.67,*,HD 210750,
F047...,2212.9+1304,22 12 55.0,+13 04 46,0.075 ± 0.019,+0.83 ± 0.17,-0.24 ± 0.30,14.4,*,*,1,C,0.151,*,*,*,*,Abell 2424,R
F050...,2214.0+1242,22 14 02.8,+12 42 09,0.150 ± 0.024,+0.56 ± 0.14,-0.33 ± 0.17,6.2,3,-3,1,ES,,13,*,-1.64,*,RU Peg,R
F051...,2214.1+0546,22 14 06.1,+5 46 23,0.061 ± 0.020,-1.45 ± 0.47,-0.24 ± 3.23,3.7,51,-10,1,st,F8,8.2,0.2,-3.79,*,HD 210985,R
F053...,2214.1+0810,22 14 10.8,+8 10 18,0.063 ± 0.016,+0.56 ± 0.21,-0.05 ± 0.28,3.8,19,-20,1,st,G0,14.99,0.81,-1.06,*,,
F054...,2214.8+1351,22 14 52.9,+13 51 19,0.130 ± 0.025,+0.71 ± 0.23,-0.19 ± 0.26,32.1,-10,0,1,AGN,0.153,19.09,0.64,1.51,204,,R
F056...,2217.1+0903,22 17 09.9,+9 03 34,0.032 ± 0.011,+3.74 ± 2.44,+0.55 ± 0.31,6.5,*,*,1,C,,*,*,*,*,Abell 2429,
F060...,2217.4+0606,22 17 27.5,+6 06 03,0.034 ± 0.012,+1.04 ± 0.27,+0.50 ± 0.33,2,-8,-2,1,st,K1e,13.52,0.8,-1.92,*,,
F066...,2217.4+1037,22 17 28.3,+10 37 28,0.033 ± 0.012,-1.63 ± 0.98,+0.00 ± 0.00,2,25,27,1,st,G5,13.77,0.74,-1.82,*,,
F068...,2217.9+0835,22 17 56.9,+8 35 43,0.038 ± 0.013,+0.57 ± 0.29,+0.81 ± 0.64,10.4,16,-3,1,S1,0.206,19.23,0.93,1.08,*,,
F069...,2218.6+0802,22 18 39.3,+8 02 13,0.106 ± 0.019,+0.74 ± 0.15,+0.53 ± 0.20,29,13,-3,1,S2,0.112,15.97,0.65,0.22,*,,
F071...,2219.3+1207,22 19 18.9,+12 07 55,0.237 ± 0.031,+0.03 ± 0.13,-0.26 ± 0.17,60,6,2,1,NL1,0.082,16.32,0.56,0.67,*,,
F073...,2219.8+0935,22 19 50.8,+9 35 31,0.068 ± 0.018,+0.60 ± 0.23,-0.25 ± 0.29,18.1,33,-1,1,"S1, st","0.049, K5e",15.49,0.25,-0.18,*,,R
F074...,2220.4+0658,22 20 28.2,+6 58 11,0.044 ± 0.014,+0.98 ± 0.19,+0.30 ± 0.29,12.2,7,9,1,S15,0.116,17.7,0.7,0.54,*,,
F079...,2223.7+1150,22 23 44.8,+11 50 16,0.204 ± 0.026,+0.77 ± 0.09,+0.22 ± 0.14,51.8,-3,6,1,S15,0.029,12.27,0.56,-1.01,*,,
F080...,2223.9+0511,22 23 54.7,+5 11 34,0.047 ± 0.014,+1.56 ± 0.39,+0.28 ± 0.29,12.6,-10,20,1,S2,0.101,16.91,0.29,0.23,*,,R
F081...,2224.4+0821,22 24 28.4,+8 21 45,0.036 ± 0.014,+0.27 ± 0.40,+0.83 ± 0.96,2.1,-13,15,1,"st, st","K5, G3",13.69,1.02,-1.82,*,,R
F082...,2225.1+1136,22 25 11.2,+11 36 02,0.049 ± 0.014,+0.59 ± 0.25,-0.07 ± 0.32,12.4,-22,1,3,BLL,,19.93,0.67,1.44,*,,R
F083...,2225.2+0826,22 25 13.3,+8 26 13,0.038 ± 0.015,+0.40 ± 0.43,-0.30 ± 1.15,2.3,-5,-4,1,st,K1,10.58,0.81,-3.04,*,,
F085...,2225.5+1140,22 25 34.3,+11 40 12,0.058 ± 0.014,+0.75 ± 0.17,+0.01 ± 0.25,14.7,-12,0,1,S1,0.035,12.35,0.42,-1.52,*,,
F087...,2226.3+0351,22 26 18.2,+3 51 44,0.101 ± 0.020,+1.92 ± 0.36,+0.39 ± 0.19,6,8,3,1,st,G5,10.89,*,-2.49,*,,
F088...,2227.0+0355,22 27 05.9,+3 55 54,0.046 ± 0.015,+1.32 ± 0.65,+1.91 ± 0.72,12.7,9,-3,1,QSO,1.249,17.76,0.37,0.58,126,,
F089...,2227.0+1257,22 27 05.7,+12 57 53,0.063 ± 0.014,+0.71 ± 0.24,-0.13 ± 0.24,15.9,-12,-3,1,S15,0.133,16.79,*,0.29,*,,
F093...,2228.3+1154,22 28 23.9,+11 54 58,0.057 ± 0.014,-0.27 ± 0.22,-0.08 ± 0.40,3.4,10,1,1,st,M2e,14.3,1.57,-1.38,*,,
F094...,2228.6+0305,22 28 36.7,+3 05 08,0.031 ± 0.012,+0.70 ± 0.29,+1.10 ± 0.93,1.9,8,-18,1,st,K2,11.89,1.03,-2.61,*,,
F096...,2230.7+0309,22 30 45.9,+3 09 19,0.036 ± 0.016,+0.54 ± 0.40,+0.30 ± 0.79,9.2,0,1,1,QSO,1.321,17.14,0.38,0.19,*,,R
F098...,2232.1+0912,22 32 10.5,+9 12 19,0.041 ± 0.012,+0.95 ± 0.15,+0.46 ± 0.25,11.4,-13,9,1,QSO,0.383,17.48,0.14,0.42,*,,
F099...,2232.5+0812,22 32 31.8,+8 12 29,0.034 ± 0.011,+1.34 ± 0.41,+1.02 ± 0.50,9.6,16,4,1,S15,0.025,14.9,*,-0.69,*,Ark 557,
F100...,2232.5+1143,22 32 35.2,+11 43 33,0.091 ± 0.017,+0.84 ± 0.16,+0.29 ± 0.18,21.8,-18,-18,1,QSO,1.037,17.51,0.34,0.71,3739,HB 892230+1,
F101...,2232.9+1040,22 32 57.8,+10 40 35,0.046 ± 0.013,-0.15 ± 0.24,-0.43 ± 0.32,2.8,-37,0,1,st,K2,11.1,0.99,-2.75,*,,R
F102...,2233.0+1335,22 33 00.9,+13 35 59,0.108 ± 0.017,+0.48 ± 0.16,+0.18 ± 0.19,26.1,-3,-3,1,BLL,,18.58,0.82,1.22,33,,R
F104...,2233.6+0506,22 33 40.0,+5 06 22,0.037 ± 0.014,+2.67 ± 1.98,-0.60 ± 0.69,2.2,11,2,1,"st, st","F8, M1",10.01,0.8,-3.28,*,,R
F105...,2233.6+1312,22 33 38.4,+13 12 42,0.070 ± 0.014,+0.65 ± 0.20,-0.06 ± 0.22,17.4,2,-1,1,S1,0.094,14.52,1.08,-0.58,*,,
F106...,2233.7+1230,22 33 44.4,+12 30 16,0.041 ± 0.012,+0.82 ± 0.29,-0.37 ± 0.29,2.5,-9,2,1,st,K2e,13.3,*,-1.92,*,,R
F108...,2234.1+0550,22 34 09.3,+5 50 05,0.053 ± 0.015,+0.78 ± 0.19,-0.19 ± 0.30,10.6,*,*,1,C,0.159,*,*,*,*,Abell 2454,
F110...,2235.2+1300,22 35 17.9,+13 00 34,0.040 ± 0.011,-0.05 ± 0.26,-0.44 ± 0.38,2.4,-2,-12,1,st,M2e,15.3,1.48,-1.13,*,,R
F111...,2236.0+0535,22 36 05.2,+5 35 53,0.078 ± 0.016,+0.73 ± 0.17,+0.31 ± 0.22,20.7,14,4,1,S1,0.239,17.21,0.21,0.57,60,,
F112...,2236.1+1213,22 36 08.4,+12 13 06,0.032 ± 0.010,+0.69 ± 0.28,+0.46 ± 0.32,4.3,-32,-28,1,G,0.025,14.7,*,-1.11,*,CG 2233+115,R
F113...,2236.1+1344,22 36 07.4,+13 44 12,0.064 ± 0.013,+0.76 ± 0.17,+0.48 ± 0.21,15.4,-4,17,1,QSO,0.325,16.95,0.19,0.34,*,PG 2233+134,
F114...,2236.2+0601,22 36 16.5,+6 01 06,0.038 ± 0.012,+0.52 ± 0.29,+0.50 ± 0.31,2.3,16,14,1,st,G8,10.7,0.76,-2.99,*,,
F117...,2237.0+0416,22 37 02.4,+4 16 54,0.053 ± 0.016,+0.98 ± 0.36,+0.44 ± 0.27,3.1,17,30,1,st,K8,17.15,1.38,-0.27,*,,
F118...,2237.0+1235,22 37 00.8,+12 35 19,0.054 ± 0.013,-0.05 ± 0.24,+0.36 ± 0.34,13.1,10,7,1,S1,0.097,17.73,0.83,0.58,*,,
F120...,2237.5+0827,22 37 34.2,+8 27 57,0.038 ± 0.011,-0.95 ± 0.19,+0.00 ± 0.00,1.6,-21,-53,1,ES,,15.23,-0.25,-1.34,*,,R
F122...,2237.7+1456,22 37 42.3,+14 56 17,0.036 ± 0.010,+0.30 ± 0.28,+0.42 ± 0.33,9,-4,4,1,S1,0.279,17.56,0.3,0.35,*,,
F126...,2239.3+0325,22 39 18.1,+3 25 21,0.054 ± 0.016,+0.33 ± 0.31,-0.35 ± 0.39,3.2,11,8,1,st,F9,12.87,0.46,-1.97,*,,R
F129...,2240.1+0804,22 40 11.0,+8 04 43,0.268 ± 0.027,+0.74 ± 0.08,+0.36 ± 0.10,74,*,*,4,,,*,*,*,*,,R
F131...,2240.4+0812,22 40 24.5,+8 12 51,0.060 ± 0.014,+0.90 ± 0.10,+0.33 ± 0.22,12.2,*,*,1,C,0.142,*,*,*,*,Abell 2468,R
F132...,2240.5+1424,22 40 32.3,+14 24 27,0.038 ± 0.011,+0.75 ± 0.33,+0.23 ± 0.31,9,13,13,1,S1,0.376,18.1,0.09,0.57,*,,
F133...,2240.7+1326,22 40 46.2,+13 26 12,0.097 ± 0.016,+0.71 ± 0.15,+0.36 ± 0.18,5.8,-4,0,3,st,G8,13.8,0.6,-1.35,*,,R
F134...,2240.8+1433,22 40 52.3,+14 33 07,0.038 ± 0.011,-0.72 ± 0.21,-0.07 ± 4.55,2.2,9,17,2,st,G4,5.71,0.72,-4.99,*,HR 8631,
F138...,2241.5+0453,22 41 34.4,+4 53 09,0.038 ± 0.012,+1.30 ± 0.34,+0.26 ± 0.30,5.3,2,-2,1,Gr,0.068,15.28,*,-0.79,107,,R
F139...,2241.8+0953,22 41 50.1,+9 53 53,0.045 ± 0.012,+0.59 ± 0.31,+0.06 ± 0.32,11.8,6,-1,1,QSO,1.707,19.22,0.5,1.13,606,PKS 2239+09,
F140...,2241.9+1431,22 41 58.2,+14 31 04,0.083 ± 0.015,+0.10 ± 0.18,+0.38 ± 0.22,5,18,4,1,st,K0,5.9,1.11,-4.57,*,HR 8642,
F141...,2241.9+1439,22 41 56.3,+14 39 17,0.036 ± 0.010,+0.54 ± 0.25,-0.23 ± 0.31,8.6,-2,15,1,S1,0.318,18.32,0.42,0.63,*,,
F142...,2242.0+0946,22 42 01.1,+9 46 00,0.098 ± 0.017,-0.18 ± 0.17,+0.21 ± 0.26,5.9,-7,-9,1,st,K8e,12.56,1.38,-1.83,*,,
